date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:06	7360/7360	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
22:11:06	8280/8280	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
22:11:06	50234/50234	U-----	200	untouched ('')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/classcentral/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
22:11:06	990/990	U-----	200	untouched ('')	image/png	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/My%20Web%20Sites/classcentral/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
22:11:06	14808/14808	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
22:11:06	15764/15764	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2026%20Feb%202023%2017:25:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
22:11:07	7933/7933	U--MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2028%20Feb%202023%2021:11:07%20GMT	https://www.classcentral.com/subjects	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
22:11:07	7963/7963	U--MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2028%20Feb%202023%2021:11:07%20GMT	https://www.classcentral.com/subject/cs	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
22:11:08	593848/593848	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2028%20Feb%202023%2021:11:07%20GMT	https://www.classcentral.com/collections	C:/My%20Web%20Sites/classcentral/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
22:11:08	378/378	---MC-	302	error ('Found')	text/html	date:Tue,%2028%20Feb%202023%2021:11:08%20GMT	https://www.classcentral.com/new-online-courses	C:/My%20Web%20Sites/classcentral/www.classcentral.com/new-online-courses.44.delayed	(from https://www.classcentral.com/)
